,C,H,H_plus,N,O,P,S,Na,Cl,K,e_minus,ACN,Ac_minus,Mg,Si,D,C_thirteen,Species_class,Adduct_hierarchy_lookup_class,DB_gen_compound_type
MG-Cer,42,81,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,MG_Cer,MG_Cer,DB_unique_species
PC-DAG-PAF,26,54,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,PC,PC,DB_unique_species
PC-DAG-C16,40,80,0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,PC,PC,DB_unique_species
PDME-DAG,39,78,0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,PDME,PDME,DB_unique_species
PE-DAG-C16,37,74,0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,PE,PE,DB_unique_species
PG-DAG,38,75,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,PG,PG_ester,DB_unique_species
PME-DAG,38,76,0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,PME,PME,DB_unique_species
PC-DAG-d7,41,73,0,1,8,1,0,0,0,0,0,0,0,0,0,7,0,PC,PC,DB_unique_species
PE-DAG-d7,38,67,0,1,8,1,0,0,0,0,0,0,0,0,0,7,0,PE,PE,DB_unique_species
PG-DAG-d7,39,68,0,0,10,1,0,0,0,0,0,0,0,0,0,7,0,PG,PG_ester,DB_unique_species
DGTS-DAG-d9,42,72,0,1,7,0,0,0,0,0,0,0,0,0,0,9,0,DGTS,DGTS,DB_unique_species
DGTS-DAG,42,81,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,DGTS,DGTS,DB_unique_species
MGDG-DAG,45,74,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,MG,MG,DB_unique_species
PC-AR,48,100,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,PC,PC,DB_unique_species
PE-AR,45,94,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,PE,PE,DB_unique_species
SQ-DAG,43,76,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,SQ,SQ,DB_unique_species
DGDG-DAG,51,84,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,DG,DG,DB_unique_species
CL-QAG,73,142,0,0,17,2,0,0,0,0,0,0,0,0,0,0,0,CL,CL,DB_unique_species
PC-DEG,44,92,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,PC,PC,DB_unique_species
PC-AEG,42,84,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,PC,PC,DB_unique_species
PC-MAG,26,54,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,PC,PC,DB_unique_species
PG-MAG,23,45,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,PG,PG,DB_unique_species
PE-MAG,22,44,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,PE,PE,DB_unique_species
PE-DEG,39,80,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,PE,PE,DB_unique_species
PG-DEG,40,81,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,PG,PG,DB_unique_species
PC-MEG,24,52,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,PC,PC,DB_unique_species
PE-AEG,39,78,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,PE,PE,DB_unique_species
PC-DAG-C8,24,48,0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,PC,PC,DB_unique_species
PC-DAG-C23,54,108,0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,PC,PC,DB_unique_species
PE-DAG-C15,35,70,0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,PE,PE,DB_unique_species
DG-Cer,54,103,0,1,13,0,0,0,0,0,-1,0,0,0,0,0,0,DG_Cer,DG_Cer,DB_unique_species
ACN,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,basic_component,,basic_component
Ac-,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,basic_component,,basic_component
[M+2Na-H]+,0,-1,0,0,0,0,0,2,0,0,-1,0,0,0,0,0,0,adduct_pos,,adduct_pos
[M+H]+,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,adduct_pos,,adduct_pos
[M+K]+,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,adduct_pos,,adduct_pos
[M+Na]+,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,adduct_pos,,adduct_pos
[M+NH4+ACN]+,0,4,0,1,0,0,0,0,0,0,-1,1,0,0,0,0,0,adduct_pos,,adduct_pos
[M+NH4]+,0,4,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,adduct_pos,,adduct_pos
[M+C2H3Na2O2]+,2,3,0,0,2,0,0,2,0,0,-1,0,0,0,0,0,0,adduct_pos,,adduct_pos
[M+2Na+Cl]+,0,0,0,0,0,0,0,2,1,0,-1,0,0,0,0,0,0,adduct_pos,,adduct_pos
[M+C4H10N3]+,4,10,0,3,0,0,0,0,0,0,-1,0,0,0,0,0,0,adduct_pos,,adduct_pos