lipid_class,rt_win_max,rt_win_min
MG-Cer,8.4,7.8
PC-DAG-PAF,12.858,12.258
PC-DAG-C16,11.23,10.63
PDME-DAG,8.97,8.37
PE-DAG-C16,11.95,11.35
PG-DAG,11.15,10.55
PME-DAG,10.45,9.85
PC-DAG-d7,11.135,10.535
PE-DAG-d7,11.85,11.25
PG-DAG-d7,11,10
DGTS-DAG-d9,8.25,7.65
DGTS-DAG,8.22,7.62
MGDG-DAG,3.95,3.35
PC-AR,10.72,10.12
PE-AR,11.27,10.67
SQ-DAG,11.82,11.22
DGDG-DAG,12.85,12.25
CL-QAG,14.13,13.53
PC-DEG,11.27,10.67
PC-AEG,10.72,10.12
PC-MAG,14.05,13.45
PG-MAG,14.05,13.45
PE-MAG,15.46,14.86
PE-DEG,11.46,10.86
PG-DEG,10.8,10.2
PC-MEG,14.46,13.86
PE-AEG,11.46,10.86
PC-DAG-C8,12.13,11.53
PC-DAG-C23,10.5,9.9
PE-DAG-C15,11.8,11.2
DG-Cer,13.96,13.36