,Total no. of fatty acid double bonds by lipid class,,,,,,,,,,,,,,,,,,,
FA_total_no_C,IP_DAG_min,IP_DAG_max,IP_MAG_min,IP_MAG_max,IP_MEG_min,IP_MEG_max,IP_DEG_min,IP_DEG_max,IP_AEG_min,IP_AEG_max,IP_FA_min,IP_FA_max,IP_Cer_min,IP_Cer_max,IP_TC_min,IP_TC_max,IP_QAG_min,IP_QAG_max,IP_QEG_min,IP_QEG_max
2,,,0,1,0,1,,,,,,,,,,,,,,
3,,,0,1,0,1,,,,,,,,,,,,,,
4,0,2,0,1,0,1,0,2,0,2,0,2,0,2,,,,,,
5,0,2,0,1,0,1,0,2,0,2,0,2,0,2,,,,,,
6,0,2,0,1,0,1,0,2,0,2,0,2,0,2,,,,,,
7,0,2,0,2,0,2,0,2,0,2,0,2,0,2,,,,,,
8,0,2,0,2,0,2,0,2,0,2,0,2,0,2,,,,,,
9,0,3,0,2,0,2,0,3,0,3,0,3,0,3,,,,,,
10,0,3,2,2,2,2,0,3,0,3,0,3,0,3,,,,,,
11,0,3,0,2,0,2,0,3,0,3,0,3,0,3,,,,,,
12,0,3,0,3,0,3,0,3,0,3,0,3,0,3,,,,,,
13,0,3,0,3,0,3,0,3,0,3,0,3,0,3,,,,,,
14,0,4,0,3,0,3,0,4,0,4,0,4,0,4,,,,,,
15,0,4,0,3,0,3,0,4,0,4,0,4,0,4,,,,,,
16,0,4,0,3,0,3,0,4,0,4,0,4,0,4,,,,,,
17,0,4,0,4,0,4,0,4,0,4,0,4,0,4,,,,,,
18,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,5,,,,
19,0,5,0,4,0,4,0,5,0,5,0,5,0,5,0,5,,,,
20,0,5,0,4,0,4,0,5,0,5,0,5,0,5,0,5,,,,
21,0,5,0,4,0,4,0,5,0,5,0,5,0,5,0,6,,,,
22,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,6,,,,
23,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,6,,,,
24,0,6,0,5,0,5,0,6,0,6,0,6,0,6,0,6,0,7,0,7
25,0,6,0,5,0,5,0,6,0,6,0,6,0,6,0,6,0,7,0,7
26,0,6,0,5,0,5,0,6,0,6,0,6,0,6,0,7,0,7,0,7
27,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,7,0,7,0,7
28,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,7,0,8,0,8
29,0,7,0,6,0,6,0,7,0,7,0,7,0,7,0,7,0,8,0,8
30,0,7,0,6,0,6,0,7,0,7,0,7,0,7,0,7,0,8,0,8
31,0,7,,,,,0,7,0,7,0,7,0,7,0,8,0,8,0,8
32,0,7,,,,,0,7,0,7,0,7,0,7,0,8,0,8,0,8
33,0,7,,,,,0,7,0,7,0,7,0,7,0,8,0,9,0,9
34,0,8,,,,,0,8,0,8,0,8,0,8,0,8,0,9,0,9
35,0,8,,,,,0,8,0,8,0,8,0,8,0,8,0,9,0,9
36,0,8,,,,,0,8,0,8,0,8,0,8,0,9,0,9,0,9
37,0,8,,,,,0,8,0,8,0,8,0,8,0,9,0,9,0,9
38,0,8,,,,,0,8,0,8,0,8,0,8,0,9,0,10,0,10
39,0,9,,,,,0,9,0,9,0,9,0,9,0,9,0,10,0,10
40,0,9,,,,,0,9,0,9,0,9,0,9,0,9,0,10,0,10
41,0,9,,,,,0,9,0,9,0,9,0,9,0,10,0,10,0,10
42,0,9,,,,,0,9,0,9,0,9,0,9,0,10,0,10,0,10
43,0,9,,,,,0,9,0,9,0,9,0,9,0,10,0,11,0,11
44,0,10,,,,,0,10,0,10,0,10,0,10,0,10,0,11,0,11
45,0,10,,,,,0,10,0,10,0,10,0,10,0,10,0,11,0,11
46,0,10,,,,,0,10,0,10,0,10,0,10,0,11,0,11,0,11
47,0,10,,,,,0,10,0,10,0,10,0,10,0,11,0,11,0,11
48,0,10,,,,,0,10,0,10,0,10,0,10,0,11,0,12,0,12
49,0,11,,,,,0,11,0,11,0,11,0,11,0,11,0,12,0,12
50,0,11,,,,,0,11,0,11,0,11,0,11,0,11,0,12,0,12
51,0,11,,,,,0,11,0,11,0,11,0,11,0,12,0,12,0,12
52,0,11,,,,,0,11,0,11,0,11,0,11,0,12,0,12,0,12
53,0,11,,,,,0,11,0,11,0,11,0,11,0,12,0,13,0,13
54,0,12,,,,,0,12,0,12,0,12,0,12,0,12,0,13,0,13
55,0,12,,,,,0,12,0,12,0,12,0,12,0,12,0,13,0,13
56,0,12,,,,,0,12,0,12,0,12,0,12,0,13,0,13,0,13
57,0,12,,,,,0,12,0,12,0,12,0,12,0,13,0,13,0,13
58,0,12,,,,,0,12,0,12,0,12,0,12,0,13,0,14,0,14
59,0,12,,,,,0,12,0,12,0,12,0,12,0,13,0,14,0,14
60,0,12,,,,,0,12,0,12,0,12,0,12,0,13,0,14,0,14
61,,,,,,,,,,,,,,,0,14,0,14,0,14
62,,,,,,,,,,,,,,,0,14,0,14,0,14
63,,,,,,,,,,,,,,,0,14,0,15,0,15
64,,,,,,,,,,,,,,,0,14,0,15,0,15
65,,,,,,,,,,,,,,,0,14,0,15,0,15
66,,,,,,,,,,,,,,,0,15,0,15,0,15
67,,,,,,,,,,,,,,,0,15,0,15,0,15
68,,,,,,,,,,,,,,,0,15,0,16,0,16
69,,,,,,,,,,,,,,,0,15,0,16,0,16
70,,,,,,,,,,,,,,,0,15,0,16,0,16
71,,,,,,,,,,,,,,,0,16,0,16,0,16
72,,,,,,,,,,,,,,,0,16,0,16,0,16
73,,,,,,,,,,,,,,,0,16,0,17,0,17
74,,,,,,,,,,,,,,,0,16,0,17,0,17
75,,,,,,,,,,,,,,,0,16,0,17,0,17
76,,,,,,,,,,,,,,,0,17,0,17,0,17
77,,,,,,,,,,,,,,,0,17,0,17,0,17
78,,,,,,,,,,,,,,,0,17,0,18,0,18
79,,,,,,,,,,,,,,,0,17,0,18,0,18
80,,,,,,,,,,,,,,,0,17,0,18,0,18
81,,,,,,,,,,,,,,,0,18,0,18,0,18
82,,,,,,,,,,,,,,,0,18,0,18,0,18
83,,,,,,,,,,,,,,,0,18,0,19,0,19
84,,,,,,,,,,,,,,,0,18,0,19,0,19
85,,,,,,,,,,,,,,,0,18,0,19,0,19
86,,,,,,,,,,,,,,,0,18,0,19,0,19
87,,,,,,,,,,,,,,,0,18,0,19,0,19
88,,,,,,,,,,,,,,,0,18,0,20,0,20
89,,,,,,,,,,,,,,,0,18,0,20,0,20
90,,,,,,,,,,,,,,,0,18,0,20,0,20
91,,,,,,,,,,,,,,,,,0,20,0,20
92,,,,,,,,,,,,,,,,,0,20,0,20
93,,,,,,,,,,,,,,,,,0,21,0,21
94,,,,,,,,,,,,,,,,,0,21,0,21
95,,,,,,,,,,,,,,,,,0,21,0,21
96,,,,,,,,,,,,,,,,,0,21,0,21
97,,,,,,,,,,,,,,,,,0,21,0,21
98,,,,,,,,,,,,,,,,,0,22,0,22
99,,,,,,,,,,,,,,,,,0,22,0,22
100,,,,,,,,,,,,,,,,,0,22,0,22
101,,,,,,,,,,,,,,,,,0,22,0,22
102,,,,,,,,,,,,,,,,,0,22,0,22
103,,,,,,,,,,,,,,,,,0,23,0,23
104,,,,,,,,,,,,,,,,,0,23,0,23
105,,,,,,,,,,,,,,,,,0,23,0,23
106,,,,,,,,,,,,,,,,,0,23,0,23
107,,,,,,,,,,,,,,,,,0,23,0,23
108,,,,,,,,,,,,,,,,,0,24,0,24
109,,,,,,,,,,,,,,,,,0,24,0,24
110,,,,,,,,,,,,,,,,,0,24,0,24
111,,,,,,,,,,,,,,,,,0,24,0,24
112,,,,,,,,,,,,,,,,,0,24,0,24
113,,,,,,,,,,,,,,,,,0,24,0,24
114,,,,,,,,,,,,,,,,,0,24,0,24
115,,,,,,,,,,,,,,,,,0,24,0,24
116,,,,,,,,,,,,,,,,,0,24,0,24
117,,,,,,,,,,,,,,,,,0,24,0,24
118,,,,,,,,,,,,,,,,,0,24,0,24
119,,,,,,,,,,,,,,,,,0,24,0,24
120,,,,,,,,,,,,,,,,,0,24,0,24
