hg_response,hg-label,standard,neg_adduct,response_standard,matrix_standard
PC,PC,NA,formate,PC-average,PC-DAG-d7
PC-Cer,PC,NA,formate,PC-average,PC-DAG-d7
DGCC,DGCC,NA,formate,DGTS-DAG,DGTS-DAG-d9
QG,4G,NA,formate,DGDG-DAG,PG-DAG-d7
TG,3G,NA,formate,DGDG-DAG,PG-DAG-d7
DG,2G,NA,formate,DGDG-DAG,PG-DAG-d7
DG-Cer,2G,NA,formate,DG-Cer,PE-DAG-d7
MG,1G,NA,formate,MGDG-DAG,PG-DAG-d7
MG-Cer,1G,NA,formate,MG-Cer,PE-DAG-d7
QG_P,1G-P,NA,formate,DGDG-DAG,PG-DAG-d7
TG_P,3G-P,NA,formate,DGDG-DAG,PG-DAG-d7
DG_P,2G-P,NA,formate,DGDG-DAG,PG-DAG-d7
MG_P,1G-P,NA,formate,MGDG-DAG,PG-DAG-d7
DGTSA,DGTSA,NA,formate,DGTS-DAG,DGTS-DAG-d9
PE,PE,NA,hydrogen,PE-average,PE-DAG-d7
PE-Cer,PE,NA,hydrogen,PE-average,PE-DAG-d7
PG,PG,NA,hydrogen,PG-average,PG-DAG-d7
PG-DAG,PG,NA,hydrogen,PG-DAG,PG-DAG-d7
PG-Cer,PG,NA,hydrogen,MG-Cer,PE-DAG-d7
PA,PA,NA,hydrogen,PG-DAG,PG-DAG-d7
PME,PME,NA,hydrogen,PME-DAG,PE-DAG-d7
SQ,SQ,NA,hydrogen,SQ-DAG,PG-DAG-d7
PDME,PDME,NA,hydrogen,PDME-DAG,PE-DAG-d7
PI,PI,NA,hydrogen,MGDG-DAG,PG-DAG-d7
PI-Cer,PI,NA,hydrogen,MGDG-DAG,PG-DAG-d7
GA,GA,NA,formate,MGDG-DAG,PG-DAG-d7
dG,dG,NA,formate,MGDG-DAG,PG-DAG-d7
dG_MG,dG-MG,NA,formate,DGDG-DAG,PG-DAG-d7
dDG,dDG,NA,formate,DGDG-DAG,PG-DAG-d7
dTG,dTG,NA,formate,DGDG-DAG,PG-DAG-d7
APT,APT,NA,hydrogen,PC-average,PG-DAG-d7
TMeAPT,3Me-APT,NA,hydrogen,PC-average,PG-DAG-d7
DMeAPT,2Me-APT,NA,hydrogen,PC-average,PG-DAG-d7
MeAPT,Me-APT,NA,hydrogen,PC-average,PG-DAG-d7
QMeAPT,4Me-APT,NA,hydrogen,PC-average,PG-DAG-d7
DPG,DPG,NA,hydrogen,PG-DAG,PG-DAG-d7
MG_DPG,1G-DPG,NA,hydrogen,DGDG-DAG,PG-DAG-d7
Ser_DPG,Ser-DPG,NA,hydrogen,PG-DAG,PG-DAG-d7
MePGP,MePGP,NA,hydrogen,PG-DAG,PG-DAG-d7
PGP,PGP,NA,hydrogen,PG-DAG,PG-DAG-d7
PGS,PGS,NA,hydrogen,PG-DAG,PG-DAG-d7
PS,PS,NA,hydrogen,PS-DAG,PG-DAG-d7
NAcG_P,NAcG-P,NA,hydrogen,MG-Cer,PE-DAG-d7
NAcG_G,NAcG-G,NA,hydrogen,DG-Cer,PE-DAG-d7
MG_NAcG_G,1G-NAcG-G,NA,hydrogen,DG-Cer,PE-DAG-d7
DG_NAcG_G,2G-NAcG-G,NA,hydrogen,DG-Cer,PE-DAG-d7
TG_NAcG_G,3G-NAcG-G,NA,hydrogen,DG-Cer,PE-DAG-d7
MG_NG,1G-NG,NA,hydrogen,DG-Cer,PE-DAG-d7
MeG,MeG,NA,formate,MGDG-DAG,PG-DAG-d7
MeG_MG,MeG-G,NA,formate,DGDG-DAG,PG-DAG-d7
MeG_DG,MeG-2G,NA,formate,DGDG-DAG,PG-DAG-d7
MG_GA,1G-GA,NA,formate,DGDG-DAG,PG-DAG-d7
NG_GA,NG-GA,NA,formate,DG-Cer,PE-DAG-d7
MG_MeNG_MG_P,1G-MeNG-G-P,NA,formate,DG-Cer,PE-DAG-d7
MeNG_MG_P,MeNG-G-P,NA,formate,DG-Cer,PE-DAG-d7
NG_MG_P,NG-G-P,NA,hydrogen,DG-Cer,PE-DAG-d7
MG_NG_MG_P,1G-NG-G-P,NA,hydrogen,DG-Cer,PE-DAG-d7
NG,NG,NA,hydrogen,MG-Cer,PE-DAG-d7
ALI,ALI,NA,formate,DGTS-DAG,DGTS-DAG-d9
NAPE,NAPE,NA,hydrogen,PE-average,PE-DAG-d7
PAGPE,PAGPE,NA,hydrogen,PE-average,PE-DAG-d7
OL,OL,NA,hydrogen,DGTS-DAG,DGTS-DAG-d9
Me-OL,Me-OL,NA,hydrogen,DGTS-DAG,PG-DAG-d7
DMe-OL,2Me-OL,NA,hydrogen,DGTS-DAG,PG-DAG-d7
TMe-OL,3Me-OL,NA,hydrogen,DGTS-DAG,PG-DAG-d7
OH-OL,OH-OL,NA,hydrogen,DGTS-DAG,DGTS-DAG-d9
LL,LL,NA,hydrogen,DGTS-DAG,DGTS-DAG-d9
GL,GL,NA,hydrogen,DGTS-DAG,DGTS-DAG-d9
CYL,CYL,NA,hydrogen,DGTS-DAG,DGTS-DAG-d9
FL,FL,NA,hydrogen,DGTS-DAG,DGTS-DAG-d9
CL,CL,NA,hydrogen,CL-QAG,PG-DAG-d7
NAcPE,NAcPE,NA,hydrogen,PE-average,PE-DAG-d7
APG,APG,NA,hydrogen,PG-DAG,PG-DAG-d9
C16PAF,C16PAF,yes,formate,PC-DAG-PAF,PC-DAG-d7
d7_PG,d7-PG,yes,hydrogen,PG-DAG-d7,PG-DAG-d7
d7_PC,d7-PC,yes,formate,PC-DAG-d7,PC-DAG-d7
d7_PE,d7-PE,yes,hydrogen,PE-DAG-d7,PE-DAG-d7
d9_DGTS,d9-DGTS,yes,hydrogen,DGTS-DAG-d9,DGTS-DAG-d9
Hp,Hp,NA,formate,MGDG-DAG,PG-DAG-d7
Hp_MG,Hp-G,NA,formate,DGDG-DAG,PG-DAG-d7
BaleS1,BaleS1,NA,formate,SQ-DAG,PG-DAG-d7
BaleS2,BaleS2,NA,formate,SQ-DAG,PG-DAG-d7
PG_MG,PG-G,NA,hydrogen,PG-DAG,PG-DAG-d7
MePG_MG,MePG-G,NA,hydrogen,PG-DAG,PG-DAG-d7
PGPGP,PGPGP,NA,hydrogen,PG-DAG,PG-DAG-d7
PG_PG,PG-PG,NA,hydrogen,PG-DAG,PG-DAG-d7
PE_PG,PE-PG,NA,hydrogen,PE-average,PE-DAG-d7
Hp_MG_PG,Hp-G-PG,NA,hydrogen,PG-DAG,PG-DAG-d7
gG,gG,NA,formate,MGDG-DAG,PG-DAG-d7
gG_MG,gG-G,NA,formate,DGDG-DAG,PG-DAG-d7
GAc,GAc,NA,formate,DGDG-DAG,PG-DAG-d7
gG_GAc,gG-GAc,NA,formate,DGDG-DAG,PG-DAG-d7
GAc_MG,GAc-G,NA,formate,DGDG-DAG,PG-DAG-d7
S_TG,S-3G,NA,formate,SQ-DAG,PG-DAG-d7
S_DG,S-2G,NA,formate,SQ-DAG,PG-DAG-d7
PGNAc,PGNAc,NA,hydrogen,PG-DAG,PG-DAG-d7
LPG,LPG,NA,hydrogen,PG-DAG,PG-DAG-d7
AlPG,AlPG,NA,hydrogen,PG-DAG,PG-DAG-d7
ArPG,ArPG,NA,hydrogen,PG-DAG,PG-DAG-d7
OPG,OPG,NA,hydrogen,PG-DAG,PG-DAG-d7
GPE,GPE,NA,hydrogen,PE-average,PE-DAG-d7
MG_PS,G-PS,NA,hydrogen,MGDG-DAG,PG-DAG-d7
PGP_PG,PGP-PG,NA,hydrogen,PG-DAG,PG-DAG-d7
APT_PG,APT-PG,NA,hydrogen,PC-average,PC-DAG-d7
DG_PG,2G-PG,NA,hydrogen,DGDG-DAG,PG-DAG-d7
dG_PG,dG-PG,NA,hydrogen,MGDG-DAG,PG-DAG-d7
Hp_PG,Hp-PG,NA,hydrogen,MGDG-DAG,PG-DAG-d7
PE_PE,PE-PE,NA,hydrogen,PE-average,PE-DAG-d7
PI_PE,PI-PE,NA,hydrogen,MGDG-DAG,PG-DAG-d7
MG_PE,G-PE,NA,hydrogen,PE-average,PE-DAG-d7
DG_PE,2G-PE,NA,hydrogen,PE-average,PE-DAG-d7
dG_PE,dG-PE,NA,hydrogen,PE-average,PE-DAG-d7
DG_PI,2G-PI,NA,hydrogen,MGDG-DAG,PG-DAG-d7
dG_PI,dG-PI,NA,hydrogen,MGDG-DAG,PG-DAG-d7
PME_DG,PME-DG,NA,hydrogen,PME-DAG,PE-DAG-d7
PS_DG,PS-DG,NA,hydrogen,PG-DAG,PG-DAG-d7
dG_DG,dG-DG,NA,formate,MGDG-DAG,PG-DAG-d7
PA_DG,PA-DG,NA,hydrogen,PG-DAG,PG-DAG-d7
